time,EAR
05:48:468341,0
05:48:468341,0
05:48:468341,0
05:48:468341,0
05:48:468341,0
05:48:468341,0
05:48:468341,0
05:48:468341,0
05:50:125147,0
05:50:125147,0
05:50:125147,0
05:50:125147,0
05:50:125147,0
05:50:125147,0
05:50:125147,0
05:50:125147,0
05:50:125147,0
05:50:125147,0
05:51:557656,0
05:51:557656,0
05:51:557656,0
05:51:557656,0
05:51:557656,0
05:51:557656,1
05:51:557656,0
05:51:557656,0
05:51:557656,0
05:51:557656,0
05:53:023704,0
05:53:023704,0
05:53:023704,0
05:53:023704,0
05:53:023704,0
05:53:023704,0
05:53:023704,0
05:53:023704,0
05:53:023704,0
05:53:023704,0
05:54:276513,0
05:54:276513,0
05:54:276513,0
05:54:276513,0
05:54:276513,0
05:54:276513,0
05:54:276513,0
05:54:276513,0
05:54:276513,0
05:54:276513,1
08:48:866274,1
08:48:866274,0
08:48:866274,0
08:48:866274,1
08:48:866274,0
08:48:866274,0
08:48:866274,0
08:48:866274,0
08:48:866274,0
08:52:553563,0
08:52:553563,0
08:52:553563,0
08:52:553563,0
08:52:553563,0
08:52:553563,0
08:52:553563,0
08:53:804152,0
08:53:804152,1
08:53:804152,1
08:53:804152,1
08:53:804152,1
08:53:804152,1
08:53:804152,1
08:53:804152,1
08:53:804152,1
08:53:804152,1
08:55:100553,1
08:55:100553,1
08:55:100553,1
08:55:100553,1
08:55:100553,1
08:55:100553,0
08:55:100553,0
08:55:100553,0
08:55:100553,0
08:55:100553,0
08:56:283189,0
08:56:283189,1
08:56:283189,1
08:56:283189,1
08:56:283189,1
08:56:283189,1
08:56:283189,1
08:56:283189,1
08:56:283189,1
08:56:283189,1
08:57:614991,1
08:57:614991,1
08:57:614991,0
08:57:614991,0
08:57:614991,0
08:57:614991,0
08:57:614991,0
08:57:614991,0
08:57:614991,0
08:57:614991,0
08:58:991362,0
08:58:991362,0
08:58:991362,0
08:58:991362,1
08:58:991362,0
08:58:991362,0
08:58:991362,0
08:58:991362,0
08:58:991362,0
08:58:991362,0
09:00:336130,0
09:00:336130,0
09:00:336130,0
09:00:336130,0
09:00:336130,0
09:00:336130,0
09:00:336130,0
09:00:336130,0
